shape,A,d,tw,bf,tf,k,Ixx,Sx,rx,Zx,Iyy,Sy,ry,Zy,rts,ho,J,Cw
W44X335,98.5,44,1.03,15.9,1.77,2.56,31100,1410,17.8,1620,1200,150,3.49,236,4.24,42.3,74.7,535000
W44X290,85.4,43.6,0.865,15.8,1.58,2.36,27000,1240,17.8,1410,1040,132,3.49,205,4.21,42,50.9,461000
W44X262,76.9,43.3,0.785,15.8,1.42,2.2,24100,1110,17.7,1270,923,117,3.47,182,4.17,41.9,37.3,405000
W44X230,67.7,42.9,0.71,15.8,1.22,2.01,20800,971,17.5,1100,976,101,3.43,157,4.13,41.7,24.9,346000
W40X593,174,43,1.79,16.7,3.23,4.41,50400,2340,17,2760,2520,302,3.8,481,4.62,39.8,445,997000
W40X503,148,42.1,1.54,16.4,2.76,3.94,41600,1980,16.8,2310,2040,249,3.72,394,4.5,39.3,277,789000
W40X431,127,41.3,1.34,16.2,2.36,3.54,34800,1690,16.6,1960,1690,208,3.65,328,4.41,38.9,177,638000
W40x397,117,41,1.22,16.1,2.2,3.38,32000,1560,16.6,1800,1540,191,3.64,300,4.37,38.8,142,579000
W40X372,109,40.6,1.16,16.1,2.05,3.23,29600,1460,16.5,1680,1420,177,3.6,277,4.34,38.6,116,528000
W40X362,107,40.6,1.12,16,2.01,3.19,28900,1420,16.5,1640,1380,173,3.6,270,4.33,38.5,109,513000
W40X324,95.3,40.2,1,15.9,1.81,2.99,25600,1280,16.4,1460,1220,153,3.58,239,4.28,38.4,79.4,448000
W40X297,87.4,39.8,0.93,15.8,1.65,2.83,23200,1170,16.3,1330,1090,138,3.54,215,4.23,38.2,61.2,399000
W40X277,81.4,39.7,0.83,15.8,1.58,2.76,21900,1100,16.4,1250,1040,132,3.58,204,4.25,38.1,51.5,379000
W40X249,73.3,39.4,0.75,15.8,1.42,2.6,19600,993,16.3,1120,926,118,3.55,182,4.21,38,38.1,334000
W40X215,63.4,39,0.65,15.8,1.22,2.4,16700,859,16.2,964,796,101,3.54,156,4.18,37.8,24.8,284000
W40X199,58.5,38.7,0.65,15.8,1.07,2.25,14900,770,16,869,695,88.2,3.45,137,4.12,37.6,18.3,246000
W40X392,115,41.6,1.42,12.4,2.52,3.7,29900,1440,16.1,1710,803,130,2.64,212,3.3,39.1,172,306000
W40X331,97.5,40.8,1.22,12.2,2.13,3.31,24700,1210,15.9,1430,644,106,2.57,172,3.21,38.7,105,241000
W40X327,96,40.8,1.18,12.1,2.13,3.31,24500,1200,16,1410,640,105,2.58,170,3.21,38.7,103,239000
W40X294,86.3,40.4,1.06,12,1.93,3.11,21900,1080,15.9,1270,562,93.5,2.55,150,3.16,38.5,76.6,208000
W40X278,82,40.2,1.03,12,1.81,2.99,20500,1020,15.8,1190,521,87.1,2.52,140,3.13,38.4,65,192000
W40X264,77.6,40,0.96,11.9,1.73,2.91,19400,971,15.8,1130,493,82.6,2.52,132,3.12,38.3,56.1,181000
W40X235,69,39.7,0.83,11.9,1.58,2.76,17400,875,15.9,1010,444,74.6,2.54,118,3.11,38.1,41.3,161000
W40X211,62,39.4,0.75,11.8,1.42,2.6,15500,786,15.8,906,390,66.1,2.51,105,3.07,38,30.4,141000
W40X182,53.3,39,0.65,11.8,1.2,2.38,132000,675,15.7,774,331,56,2.49,88.3,3.04,37.8,19.3,118000
W40X167,49.2,38.6,0.65,11.8,1.03,2.21,11600,600,15.3,693,283,47.9,2.4,76,2.98,37.6,14,99700
W40X149,43.8,38.2,0.63,11.8,0.83,2.01,9800,513,15,598,229,38.8,2.29,62.2,2.89,37.4,9.36,80000
W36X800,236,42.6,2.38,18,4.29,5.24,64700,3040,16.6,3650,4200,467,4.22,743,5.14,38.3,1060,1540000
W36X652,192,41.1,1.97,17.6,3.54,4.49,50600,2460,16.2,2910,3230,367,4.1,581,4.96,37.5,593,1130000
W36X529,156,39.8,1.61,17.2,2.91,3.86,39600,1990,16,2330,2490,289,4,454,4.8,36.9,327,846000
W36X487,143,39.3,1.5,17.1,2.68,3.63,36000,1830,15.8,2130,2250,263,3.96,412,4.74,36.7,258,754000
W36X441,130,38.9,1.36,17,2.44,3.39,32100,1650,15.7,1910,1990,235,3.92,368,4.69,36.4,194,661000
W36X395,116,38.4,1.22,16.8,2.2,3.15,28500,1490,15.7,1710,1750,208,3.88,325,4.61,36.2,142,575000
W36X361,106,38,1.12,16.7,2.01,2.96,25700,1350,15.6,1550,1570,188,3.85,293,4.58,36,109,509000
W36X330,97,37.7,1.02,16.6,1.85,2.8,23300,1240,15.5,1410,1420,171,3.83,265,4.53,35.8,84.3,456000
W36X302,88.8,37.3,0.945,16.7,1.68,2.63,21100,1130,15.4,1280,1300,156,3.82,241,4.53,35.7,64.3,412000
W36X282,82.9,37.1,0.885,16.6,1.57,2.52,19600,1050,15.4,1190,1200,144,3.8,223,4.5,35.5,52.7,378000
W36X262,77,36.9,0.84,16.6,1.44,2.39,17900,972,15.3,1100,1090,132,3.76,204,4.46,35.4,41.6,342000
W36X247,72.5,36.7,0.8,16.5,1.35,2.3,16700,913,15.2,1030,1010,123,3.74,190,4.42,35.3,34.7,316000
W36X231,68.1,36.5,0.76,16.5,1.26,2.21,15600,854,15.1,963,940,114,3.71,176,4.4,35.2,28.7,292000
W36X256,75.4,37.5,0.96,12.2,1.73,2.48,16800,895,14.9,1040,528,86.5,2.65,137,3.25,35.7,52.9,168000
W36X232,68.1,37.1,0.87,12.1,1.57,2.32,15000,809,14.8,936,468,77.2,2.62,122,3.21,35.6,39.6,148000
W36X210,61.8,36.7,0.83,12.2,1.36,2.11,13200,719,14.6,833,411,67.5,2.58,107,3.18,35.3,28,128000
W36X194,57,36.5,0.765,12.1,1.26,2.01,12100,664,14.6,767,375,61.9,2.56,97.7,3.15,35.2,22.2,116000
W36X182,53.6,36.3,0.725,12.1,1.18,1.93,11300,623,14.5,718,347,57.6,2.55,90.7,3.13,35.2,18.5,107000
W36X170,50.1,36.2,0.68,12,1.1,1.85,10500,581,14.5,668,320,53.2,2.53,83.8,3.11,35.1,15.1,98500
W36X160,47,36,0.65,12,1.02,1.77,9760,542,14.4,624,295,49.1,2.5,77.3,3.08,35,12.4,90200
W36X150,44.2,35.9,0.625,12,0.94,1.69,9040,504,14.3,581,270,45.1,2.47,70.9,3.06,34.9,10.1,82200
W36X135,39.7,35.6,0.6,12,0.79,1.54,7800,439,14,509,225,37.7,2.38,59.7,2.99,34.8,7,68100
W33X387,114,36,1.26,16.2,2.28,3.07,24300,1350,14.6,1560,1620,200,3.77,312,4.49,33.7,148,459000
W33X354,104,35.6,1.16,16.1,2.09,2.88,22000,1240,14.5,1420,1460,181,3.74,282,4.44,33.5,115,408000
W33X318,93.6,35.2,1.04,16,1.89,2.68,19500,1110,14.5,1270,1290,161,3.71,250,4.39,33.3,84.4,357000
W33X291,85.7,34.8,0.96,15.9,1.73,2.52,17700,1020,14.4,1160,1160,146,3.68,226,4.35,33.1,65.1,319000
W33X263,77.5,34.5,0.87,15.8,1.57,2.36,15900,919,14.3,1040,1040,131,3.66,202,4.31,33,48.7,281000
W33X241,71,34.2,0.83,15.9,1.4,2.19,14200,831,14.1,940,933,118,3.62,182,4.29,32.8,36.2,251000
W33X221,65.2,33.9,0.775,15.8,1.28,2.06,12900,759,14.1,857,840,106,3.59,164,4.25,32.7,27.8,224000
W33X201,59.2,33.7,0.715,15.7,1.15,1.94,11600,686,14,773,749,95.2,3.56,147,4.21,32.5,20.8,198000
W33X169,49.5,33.8,0.67,11.5,1.22,1.92,9290,549,13.7,629,310,53.9,2.5,82.4,3.03,32.6,17.7,82400
W33X152,44.8,33.5,0.635,11.6,1.06,1.76,8160,487,13.5,559,273,47.2,2.47,73.9,3.01,32.4,12.4,71700
W33X141,41.6,33.3,0.605,11.5,0.96,1.66,7450,448,13.4,514,246,42.7,2.43,66.9,2.98,32.3,9.7,64400
W33X130,38.3,33.1,0.58,11.5,0.855,1.56,6710,406,13.2,467,218,37.9,2.39,59.5,2.94,32.2,7.37,56600
W33X118,34.7,32.9,0.55,11.5,0.74,1.44,5900,359,13,415,187,32.6,2.32,51.3,2.89,32.1,5.3,48300
W30X391,115,33.2,1.36,15.6,2.44,3.23,20700,1250,13.4,1450,1550,198,3.67,310,4.37,30.8,173,366000
W30X357,105,32.8,1.24,15.5,2.24,3.03,18700,1140,13.3,1320,1390,179,3.64,279,4.32,30.6,134,324000
W30X326,95.8,32.4,1.14,15.4,2.05,2.84,16800,1040,13.2,1190,1240,162,3.6,252,4.27,30.4,103,287000
W30X292,85.9,32,1.02,15.3,1.85,2.64,14900,930,13.2,1060,1100,144,3.58,223,4.22,30.2,75.2,250000
W30X261,76.9,31.6,0.93,15.2,1.65,2.44,13100,829,13.1,943,959,127,3.53,196,4.16,30,54.1,215000
W30X235,69.2,31.3,0.83,15.1,1.5,2.29,11700,748,13,847,855,114,3.51,175,4.13,29.8,40.3,190000
W30X211,62.2,30.9,0.775,15.1,1.32,2.11,10300,665,12.9,751,757,100,3.49,155,4.1,29.6,28.4,155000
W30X191,56.3,30.7,0.71,15,1.19,1.97,9200,600,12.8,675,673,89.5,3.46,138,4.07,29.5,21,146000
W30X173,51,30.4,0.655,15,1.07,1.85,8230,541,12.7,607,598,79.8,3.42,123,4.03,29.4,15.6,129000
w30X148,43.5,30.7,0.65,10.5,1.18,1.83,6680,436,12.4,500,227,43.3,2.28,68,2.77,29.5,14.5,49400
W30X132,38.9,30.3,0.615,10.5,1,1.65,5770,380,12.1,437,196,37.2,2.25,58.4,2.75,29.3,9.72,42100
W30X124,36.5,30.2,0.585,10.5,0.93,1.58,5360,355,12.1,408,181,34.4,2.23,54,2.73,29.2,7.99,38600
W30X116,34.2,29.8,0.545,10.5,0.85,1.5,4930,329,12,378,164,31.3,2.19,49.2,2.7,29.2,6.42,34900
W30X108,31.7,29.8,0.545,10.5,0.76,1.41,4470,299,11.9,346,146,27.9,2.15,43.9,2.66,29.1,4.99,30900
W30X99,29.1,29.7,0.52,10.5,0.67,1.32,3990,269,11.7,312,128,24.5,2.1,38.6,2.62,29,3.77,26800
W30X90,26.4,29.5,0.47,10.4,0.61,1.26,3610,245,11.7,283,115,22.1,2.09,34.7,2.6,28.9,2.84,24000
W27X539,159,32.5,1.97,15.3,3.54,4.33,25600,1570,12.7,1890,2110,227,3.65,437,4.41,29,496,443000
W27X368,108,30.4,1.38,14.7,2.48,3.27,16200,1060,12.2,1240,1310,179,3.48,279,4.14,27.9,170,255000
W27X336,98.9,30,1.26,14.6,2.28,3.07,14600,972,12.1,1130,1180,162,3.45,252,4.09,27.7,131,226000
W27X307,90.4,29.6,1.16,14.4,2.09,2.88,13100,887,12,1030,1050,146,3.41,227,4.04,27.5,101,199000
W27X281,82.9,29.3,1.06,14.4,1.93,2.72,11900,814,12,936,953,133,3.39,206,4,27.4,79.5,178000
W27X258,76,29,0.98,14.3,1.77,2.56,10800,745,11.9,852,859,120,3.36,187,3.96,27.2,61.6,159000
W27X235,69.4,28.7,0.91,14.2,1.61,2.4,9700,677,11.8,772,769,108,3.33,168,3.92,27.1,47,141000
W27X217,64,28.4,0.83,14.1,1.5,2.29,8910,627,11.8,711,704,100,3.32,154,3.89,26.9,37.6,128000
W27X194,57.2,28.1,0.75,14,1.34,2.13,7860,559,11.7,631,619,88.1,3.29,136,3.85,26.8,27.1,111000
W27X178,52.5,27.8,0.725,14.1,1.19,1.98,7020,505,11.6,570,555,78.8,3.25,122,3.83,26.6,20.1,98400
W27X161,47.6,27.6,0.66,14,1.08,1.87,6310,458,11.5,515,497,70.9,3.23,109,3.79,26.5,15.1,87300
W27X146,43.1,27.4,0.605,14,0.975,1.76,5660,414,11.5,464,443,63.5,3.2,97.7,3.76,26.4,11.3,77200
W27X129,37.8,27.6,0.61,10,1.1,1.7,4760,345,11.2,395,184,36.8,2.21,57.6,2.66,26.5,11.1,32500
W27X114,33.5,27.3,0.57,10.1,0.93,1.53,4080,299,11,343,159,31.5,2.18,49.3,2.64,26.4,7.33,27600
W27X102,30,27.1,0.515,10,0.83,1.43,3620,267,11,305,139,27.8,2.15,43.3,2.62,26.3,5.28,24000
W27X94,27.7,26.9,0.49,10,0.745,1.34,3270,243,10.9,278,124,24.8,2.12,38.8,2.59,26.2,4.03,21300
W27X84,24.8,26.7,0.46,10,0.64,1.24,2850,213,10.7,244,106,21.2,2.07,33.2,2.54,26.1,2.81,17900
W24X370,109,28,1.52,13.7,2.72,3.22,13400,957,11.1,1130,1160,170,3.27,267,3.92,25.3,201,186000
W24X335,98.4,27.5,1.38,13.5,2.48,2.98,11900,864,11,1020,1030,152,3.23,238,3.86,25,152,161000
W24X306,89.8,27.1,1.26,13.4,2.28,2.78,10700,789,10.9,922,919,137,3.2,214,3.81,24.9,117,142000
W24X279,82,26.7,1.16,13.3,2.09,2.59,9600,718,10.8,835,823,124,3.17,193,3.76,24.6,90.5,125000
W24X250,73.5,26.3,1.04,13.2,1.89,2.39,8490,644,10.7,744,724,110,3.14,171,3.71,24.5,66.6,108000
W24X229,67.2,26,0.96,13.1,1.73,2.23,7650,588,10.7,675,651,99.4,3.11,154,3.67,24.3,51.3,96100
W24X207,60.7,25.7,0.87,13,1.57,2.07,6820,531,10.6,606,578,88.8,3.08,137,3.62,24.1,38.3,84100
W24X192,56.3,25.5,0.81,13,1.46,1.96,6260,491,10.5,559,530,81.8,3.07,126,3.6,24,30.8,76300
W24X176,51.7,25.2,0.75,12.9,1.34,1.84,5680,450,10.5,511,479,74.3,3.04,115,3.57,23.9,23.9,68400
W24X162,47.7,25,0.705,13,1.22,1.72,5170,414,10.4,468,443,68.4,3.05,105,3.57,23.8,18.5,62600
W24X146,43,24.7,0.65,12.9,1.09,1.59,4580,371,10.3,418,391,60.5,3.01,93.2,3.53,23.7,13.4,54600
W24X131,38.5,24.5,0.605,12.9,0.96,1.46,4020,329,10.2,370,340,53,2.97,81.5,3.49,23.5,9.5,47100
W24X117,34.4,24.3,0.55,12.8,0.85,1.35,3540,291,10.1,327,297,46.5,2.94,71.4,3.46,23.4,6.72,40800
W24X104,30.6,24.1,0.5,12.8,0.75,1.25,3100,258,10.1,289,259,40.7,2.91,62.4,3.42,23.3,4.72,35200
W24X103,30.3,24.5,0.55,9,0.98,1.48,3000,245,10,280,119,26.5,1.99,41.5,2.4,23.6,7.07,16600
W24X94,27.7,24.3,1.515,9.07,0.875,1.38,2700,222,9.87,254,109,24,1.98,37.5,2.4,23.4,5.26,15000
W24X84,24.7,24.1,0.47,9.02,0.77,1.27,2370,196,9.79,224,94.4,20.9,1.95,32.6,2.37,23.3,3.7,12800
W24X76,22.4,23.9,0.44,8.99,0.68,1.18,2100,176,9.69,200,82.5,18.4,1.92,29.6,2.34,23.2,2.68,11100
W24X68,20.1,23.7,0.415,8.97,0.585,1.09,1830,154,9.55,177,70.4,15.7,1.87,24.5,2.3,23.1,1.87,9430
W24X62,18.2,23.7,0.43,7.04,0.59,1.09,1550,131,9.23,153,34.5,9.8,1.38,15.7,1.75,23.2,1.71,4620
W24X55,16.2,23.6,0.395,7.01,0.505,1.01,1350,114,9.11,134,29.1,8.3,1.34,13.3,1.71,23.1,1.18,3870
W21X201,59.2,23,0.91,12.6,1.63,2.13,5310,461,9.47,530,542,86.1,3.02,133,3.55,21.4,40.9,62000
W21X182,53.6,22.7,0.83,12.5,1.48,1.98,4730,417,9.4,476,483,77.2,3,119,3.51,21.2,30.7,54400
W21X166,48.8,22.5,0.75,12.4,1.36,1.86,4280,380,9.36,432,435,70,2.99,108,3.48,21.1,23.6,48500
W21X147,43.2,22.1,0.72,12.5,1.15,1.65,3630,329,9.17,373,376,60.1,2.95,92.6,3.45,20.9,15.4,41100
W21X132,38.8,21.8,0.65,12.4,1.04,1.54,3220,295,9.12,333,333,53.5,2.93,82.3,3.42,20.8,11.3,36000
W21X122,35.9,21.7,0.6,12.4,0.96,1.46,2960,273,9.09,307,305,49.2,2.92,75.6,3.4,20.7,8.98,32700
W21X111,32.7,21.5,0.55,12.3,0.875,1.38,2670,249,9.05,279,274,44.5,2.9,68.2,3.37,20.6,6.83,29200
W21X101,29.8,21.4,0.5,12.3,0.8,1.3,2420,227,9.02,253,248,40.3,2.89,61.7,3.35,20.6,5.21,26200
W21X93,27.3,21.6,0.58,8.42,0.93,1.43,2070,192,8.7,221,92.9,22.1,1.84,34.7,2.24,20.7,6.03,9940
W21X83,24.3,21.4,0.515,8.36,0.835,1.34,1830,171,8.67,196,81.4,19.5,1.83,30.5,2.21,20.6,4.34,8630
W21X73,21.5,21.2,0.455,8.3,0.74,1.24,1600,151,8.64,172,70.6,17,1.81,26.6,2.19,20.5,3.02,7410
W21X68,20,21.2,0.43,8.27,0.685,1.19,1480,140,8.6,160,64.7,15.7,1.8,24.4,2.17,20.4,2.45,6760
W21X62,18.3,21,0.4,8.24,0.615,1.12,1330,127,8.54,144,57.5,14,1.77,21.7,2.15,20.4,1.83,5960
W21X55,16.2,20.8,0.375,8.22,0.522,1.02,1140,110,8.4,126,48.4,11.8,1.73,18.4,2.11,20.3,1.24,4980
W21X48,14.1,20.6,0.35,8.14,0.43,0.93,959,93,8.24,107,38.7,9.52,1.66,14.9,2.05,20.2,0.803,3950
W21X57,16.7,21.1,0.405,6.56,0.65,1.15,1170,111,8.36,129,30.6,9.35,1.35,14.8,1.68,20.4,1.77,3190
W21X50,14.7,20.8,0.38,6.53,0.535,1.04,984,94.5,8.18,110,24.9,7.64,1.3,12.2,1.64,20.3,1.14,2570
W21X44,13,20.7,0.35,6.5,0.45,0.95,843,81.6,8.06,95.4,20.7,6.37,1.26,10.2,1.6,20.2,0.77,2110
W18X311,91.6,22.3,1.52,12,2.74,3.24,6970,624,8.72,754,795,132,2.95,207,3.53,19.6,176,76200
W18X283,83.3,21.9,1.4,11.9,2.5,3,6170,565,8.61,676,704,118,2.91,185,3.47,19.4,134,65900
