NODE,R,aa,Angle,Z
2859,276,-177.19,2.81,0
2860,276,-174.37,5.63,0
2861,276,-171.56,8.44,0
2862,276,-168.75,11.25,0
2863,276,-165.94,14.06,0
2864,276,-163.13,16.87,0
2865,276,-160.31,19.69,0
2866,276,-157.5,22.5,0
2867,276,-154.69,25.31,0
2868,276,-151.88,28.12,0
2869,276,-149.06,30.94,0
2870,276,-146.25,33.75,0
2871,276,-143.44,36.56,0
2872,276,-140.63,39.37,0
2873,276,-137.81,42.19,0
2858,276,-135,45,0
3573,276,-132.19,47.81,0
3574,276,-129.37,50.63,0
3575,276,-126.56,53.44,0
3576,276,-123.75,56.25,0
3577,276,-120.94,59.06,0
3578,276,-118.13,61.87,0
3579,276,-115.31,64.69,0
3580,276,-112.5,67.5,0
3581,276,-109.69,70.31,0
3582,276,-106.88,73.12,0
3583,276,-104.06,75.94,0
3584,276,-101.25,78.75,0
3585,276,-98.438,81.562,0
3586,276,-95.625,84.375,0
3587,276,-92.813,87.187,0
3572,276,-90,90,0
4287,276,-87.187,92.813,0
4288,276,-84.375,95.625,0
4289,276,-81.563,98.437,0
4290,276,-78.75,101.25,0
4291,276,-75.938,104.062,0
4292,276,-73.125,106.875,0
4293,276,-70.313,109.687,0
4294,276,-67.5,112.5,0
4295,276,-64.688,115.312,0
4296,276,-61.875,118.125,0
4297,276,-59.063,120.937,0
4298,276,-56.25,123.75,0
4299,276,-53.438,126.562,0
4300,276,-50.625,129.375,0
4301,276,-47.813,132.187,0
4286,276,-45,135,0
5001,276,-42.187,137.813,0
5002,276,-39.375,140.625,0
5003,276,-36.563,143.437,0
5004,276,-33.75,146.25,0
5005,276,-30.938,149.062,0
5006,276,-28.125,151.875,0
5007,276,-25.313,154.687,0
5008,276,-22.5,157.5,0
5009,276,-19.688,160.312,0
5010,276,-16.875,163.125,0
5011,276,-14.063,165.937,0
5012,276,-11.25,168.75,0
5013,276,-8.4375,171.5625,0
5014,276,-5.625,174.375,0
5015,276,-2.8125,177.1875,0
1,276,0,180,0
3,276,2.8125,182.8125,0
4,276,5.625,185.625,0
5,276,8.4375,188.4375,0
6,276,11.25,191.25,0
7,276,14.062,194.062,0
8,276,16.875,196.875,0
9,276,19.687,199.687,0
10,276,22.5,202.5,0
11,276,25.312,205.312,0
12,276,28.125,208.125,0
13,276,30.937,210.937,0
14,276,33.75,213.75,0
15,276,36.562,216.562,0
16,276,39.375,219.375,0
17,276,42.187,222.187,0
2,276,45,225,0
717,276,47.813,227.813,0
718,276,50.625,230.625,0
719,276,53.437,233.437,0
720,276,56.25,236.25,0
721,276,59.062,239.062,0
722,276,61.875,241.875,0
723,276,64.687,244.687,0
724,276,67.5,247.5,0
725,276,70.312,250.312,0
726,276,73.125,253.125,0
727,276,75.937,255.937,0
728,276,78.75,258.75,0
729,276,81.562,261.562,0
730,276,84.375,264.375,0
731,276,87.187,267.187,0
716,276,90,270,0
1431,276,92.813,272.813,0
1432,276,95.625,275.625,0
1433,276,98.437,278.437,0
1434,276,101.25,281.25,0
1435,276,104.06,284.06,0
1436,276,106.87,286.87,0
1437,276,109.69,289.69,0
1438,276,112.5,292.5,0
1439,276,115.31,295.31,0
1440,276,118.12,298.12,0
1441,276,120.94,300.94,0
1442,276,123.75,303.75,0
1443,276,126.56,306.56,0
1444,276,129.37,309.37,0
1445,276,132.19,312.19,0
1430,276,135,315,0
2145,276,137.81,317.81,0
2146,276,140.63,320.63,0
2147,276,143.44,323.44,0
2148,276,146.25,326.25,0
2149,276,149.06,329.06,0
2150,276,151.87,331.87,0
2151,276,154.69,334.69,0
2152,276,157.5,337.5,0
2153,276,160.31,340.31,0
2154,276,163.12,343.12,0
2155,276,165.94,345.94,0
2156,276,168.75,348.75,0
2157,276,171.56,351.56,0
2158,276,174.37,354.37,0
2159,276,177.19,357.19,0
2144,276,180,360,0